Level,WL,Hanzi,Pinyin,Sino_Vietnamese,Traditional,Freq,Examples,Viet_Meaning,English_Meaning,,,,,,,,,,,,,,,,,,,,,,,
1,1,哥,gē,ca,哥,4,哥哥 哥 大哥 帅哥,"Anh, em gọi anh là ca",elder brother,,,,,,,,,,,,,,,,,,,,,,,
1,1,歌,gē,ca,歌,20,唱歌 歌 歌迷 歌声 歌手,Ngợi hát,song, to sing,,,,,,,,,,,,,,,,,,,,,,
1,1,个,gè,cá,個,14,个 个子 个人 个性 整个,"Cái, từng cái một gọi là cá, cùng một nghĩa với chữ cá 箇",used in 自个儿,,,,,,,,,,,,,,,,,,,,,,,
1,1,给,gěi,cấp,給,7,给 交给 送给 递给 供给,Ðủ dùng,to, for, for the benefit of, to give, to allow, to do sth (for sb), (grammatical equivalent of 被), (grammatical equivalent of 把), (sentence intensifier),,,,,,,,,,,,,,,
1,1,跟,gēn,"cân, ngân",跟,7,跟 高跟鞋 跟前 跟随 跟不上,Gót chân,heel, to follow closely, to go with, (of a woman) to marry sb, with, compared with, to, towards, and (joining two nouns),,,,,,,,,,,,,,,
1,1,工,gōng,công,工,39,工人 工作 打工 工厂 工程师,"Khéo, làm việc khéo gọi là công",,,,,,,,,,,,,,,,,,,,,,,,
1,1,关,guān,"quan, loan",關,32,关 关上 没关系 关机 关心,Đóng,surname Guan,,,,,,,,,,,,,,,,,,,,,,,
1,2,馆,guǎn,quán,館,12,图书馆 饭馆 体育馆 大使馆 旅馆,Quán trọ,,,,,,,,,,,,,,,,,,,,,,,,
1,1,贵,guì,quý,貴,11,贵 宝贵 珍贵 昂贵 高贵,"Sang, quý hiển",expensive, noble, precious, (honorific) your,,,,,,,,,,,,,,,,,,,,
1,1,国,guó,quốc,國,35,国 国家 国外 外国 中国,"Nước, có đất có dân, có quyền cai trị gọi là nước",surname Guo,,,,,,,,,,,,,,,,,,,,,,,
1,1,果,guǒ,quả,果,18,水果 结果 如果 成果 果然,"Quả, trái cây",,,,,,,,,,,,,,,,,,,,,,,,
1,1,过,guò,quá,過,51,过 不过 超过 过来 过年,Tục dùng như chữ quá 過,surname Guo,,,,,,,,,,,,,,,,,,,,,,,
1,1,还,hái,hoàn,還,9,还 还是 还有 偿还 返还,Tục dùng như chữ hoàn 還,surname Huan,,,,,,,,,,,,,,,,,,,,,,,
1,1,孩,hái,hài,孩,4,孩子 男孩儿 女孩儿 小孩儿,"Trẻ con cười, bây giờ đều gọi trẻ bé là hài",,,,,,,,,,,,,,,,,,,,,,,,
1,1,汉,hàn,hán,漢,3,汉语 汉字 老汉,Sông Hán,,,,,,,,,,,,,,,,,,,,,,,,
1,1,好,hǎo,"hảo, hiếu",好,58,爱好 好 好吃 好看 好听,"Tốt, hay",good, appropriate, proper, all right!, (before a verb) easy to, (before a verb) good to, (before an adjective for exclamatory effect) so, (verb complement indicating completion), (of two people) close, on intimate terms, (after a personal pronoun) hello,,,,,,,,,,,,,
1,1,号,hào,hiệu,號,20,号 信号 符号 号码 括号,Cũng như chữ hiệu 號,roar, cry,,,,,,,,,,,,,,,,,,,,,,
1,1,喝,hē,"hát, ới",喝,3,喝 吃喝玩乐 喝彩,Quát mắng,to drink, variant of 嗬,,,,,,,,,,,,,,,,,,,,,,
1,1,和,hé,"hòa, họa",和,19,和 和平 暖和 温和 和谐,"Hòa, cùng ăn nhịp với nhau",old variant of 和,,,,,,,,,,,,,,,,,,,,,,,
1,1,很,hěn,ngận,很,2,很 很难说,Bướng,(adverb of degree), quite, very, awfully,,,,,,,,,,,,,,,,,,,,
1,1,后,hòu,hậu,後/后,51,后 后边 后天 最后 后来,"Vua, đời xưa gọi các chư hầu là quần hậu 羣后",surname Hou,,,,,,,,,,,,,,,,,,,,,,,
1,1,候,hòu,hậu,候,14,时候 有时候 那时候 小时候 这时候,Dò ngóng,,,,,,,,,,,,,,,,,,,,,,,,
1,1,花,huā,hoa,花,23,花 花园 开花 鲜花 桃花,"Hoa, hoa của cây cỏ",surname Hua,,,,,,,,,,,,,,,,,,,,,,,
1,1,话,huà,thoại,話,33,打电话 电话 话 说话 的话,"Lời nói, phàm các lời nói tầm thường đều gọi là thoại",dialect, language, spoken words, speech, talk, words, conversation, what sb said,,,,,,,,,,,,,,,,
1,1,坏,huài,"phôi, bùi",壞,9,坏 坏处 坏人 破坏 好坏,Ngói mộc,bad, spoiled, broken, to break down, (suffix) to the utmost,,,,,,,,,,,,,,,,,,,
1,1,欢,huān,hoan,歡,12,喜欢 欢迎 欢乐 悲欢离合 欢呼,Vui mừng,,,,,,,,,,,,,,,,,,,,,,,,
1,1,回,huí,"hồi, hối",回/迴,33,回 回答 回到 回家 回来,"Về, đi rồi trở lại gọi là hồi",to circle, to go back, to turn around, to answer, to return, to revolve, Hui ethnic group (Chinese Muslims), time, classifier for acts of a play, section or chapter (of a classic book),,,,,,,,,,,,,,
1,1,会,huì,"hội, cối",會,56,会 开会 一会儿 不一会儿 机会,Họp,can, to have the skill, to know how to, to be likely to, to be sure to, to meet, to get together, meeting, gathering, (suffix) union, group, association, (bound form) a moment (Taiwan pr. [huǐ]),,,,,,,,,,,
1,1,火,huǒ,hỏa,火,27,火车 火 着火 火柴 火腿,Lửa,surname Huo,,,,,,,,,,,,,,,,,,,,,,,
1,1,机,jī,"ky, cơ",機,50,电视机 飞机 机场 机票 手机,"Cái nẫy, cái máy, phàm cái gì do đấy mà phát động ra đều gọi là ky",,,,,,,,,,,,,,,,,,,,,,,,
1,1,鸡,jī,kê,雞,5,鸡蛋 鸡 公鸡 母鸡 鹤立鸡群,Con gà,fowl, chicken, (slang) prostitute,,,,,,,,,,,,,,,,,,,,,
1,1,几,jǐ,kỷ,幾,4,几 几乎 几率 寥寥无几,Cái ghế dựa,small table,,,,,,,,,,,,,,,,,,,,,,,
1,1,记,jì,kí,記,19,记 记得 记住 忘记 笔记,"Nhớ, nhớ kĩ cho khỏi quên","to record; to note; to memorize; to remember; mark; sign; classifier for blows, kicks, shots",,,,,,,,,,,,,,,,,,,,,,,
1,1,家,jiā,"gia, cô",家/傢,49,国家 回家 家 家里 家人,Ở,used in 家伙 and 家俱,,,,,,,,,,,,,,,,,,,,,,,
1,1,假,jiǎ,"giả, giá",假,23,放假 请假 假 假期 休假,Giả,used in 掰,,,,,,,,,,,,,,,,,,,,,,,
1,1,间,jiān,gian,間,23,房间 间 时间 洗手间 中间,Chữ gian 閒 nghĩa là khoảng thì thường viết là 間,between, among, within a definite time or space, room, section of a room or lateral space between two pairs of pillars, classifier for rooms,,,,,,,,,,,,,,,,,,
1,1,见,jiàn,"kiến, hiện",見,40,见 见面 看见 听见 再见,"Thấy, mắt trông thấy",to see, to meet, to appear (to be sth), to interview, opinion, view,,,,,,,,,,,,,,,,,,
1,1,教,jiào,giáo,教,26,教 教学楼 教师 教室 教学,Cũng như chữ giáo 敎,surname Jiao,,,,,,,,,,,,,,,,,,,,,,,
1,1,叫,jiào,khiếu,叫,4,叫 叫作 叫板 叫好,Kêu,to shout, to call, to order, to ask, to be called, by (indicates agent in the passive mood),,,,,,,,,,,,,,,,,,
1,1,觉,jué,"giác, giáo",覺,17,觉得 睡觉 感觉 自觉 发觉,"Hiểu biết, hiểu những điều không biết đến gọi là giác",a nap, a sleep,,,,,,,,,,,,,,,,,,,,,,
1,1,姐,jiě,"tả, thư",姐,5,姐姐 姐 小姐 大姐 姐妹,Tục gọi chị gái là tả,older sister,,,,,,,,,,,,,,,,,,,,,,,
1,1,介,jiè,giới,介,6,介绍 中介 简介 介入 介意,"Cõi, ở vào khoảng giữa hai cái gọi là giới",,,,,,,,,,,,,,,,,,,,,,,,
1,1,今,jīn,kim,今,11,今年 今天 今后 至今 如今,"Nay, hiện nay, bây giờ gọi là kim 今",,,,,,,,,,,,,,,,,,,,,,,,
1,1,进,jìn,tiến,進,30,进 进来 进去 请进 进入,Tiến lên,to go forward, to advance, to go in, to enter, to put in, to submit, to take in, to admit, (math.) base of a number system, classifier for sections in a building or residential compound,,,,,,,,,,,,,,
1,2,京,jīng,kinh,京,2,北京 京剧,"To, chỗ vua đóng đô gọi là kinh sư 京師 nghĩa là chỗ đất rộng mà nhiều người",,,,,,,,,,,,,,,,,,,,,,,,
1,1,净,jìng,tịnh,淨,6,干净 纯净水 净 洁净 净化,"Sạch sẽ, phàm cái gì tinh nguyên không có cái gì làm lẫn lộn táp nhạp đều gõi là tịnh, lâng lâng không có gì cũng gọi là tịnh",variant of 净,,,,,,,,,,,,,,,,,,,,,,,
1,1,九,jiǔ,"cửu, cưu",九,1,九,"Chín, tên số đếm",nine,9,,,,,,,,,,,,,,,,,,,,,,
1,1,就,jiù,tựu,就,22,就 就要 早就 成就 就是,"Nên, sự đã nên gọi là sự tựu 事就",(after a suppositional clause) in that case, then, (after a clause of action) as soon as, immediately after, (same as 是) merely, nothing else but, simply, just, precisely, exactly, only, as little as, as much as, as many as, to approach, to move towards, to undertake, to engage in, (often followed by 着) taking advantage of, (of food) to go with, with regard to, concerning, (pattern: 就 ... 也 ...) even if ... still ..., (pattern: 不 ... 就 ...) if not ... then must be ...
1,1,开,kāi,khai,開,63,打开 开 开车 开会 开玩笑,Mở,"to open (transitive or intransitive); (of ships, vehicles, troops etc) to start; to turn on; to put in operation; to operate; to run; to boil; to write out (a prescription, check, invoice etc); (directional complement) away; off; carat (gold); abbr. for Kelvin, 开尔文; abbr. for 开本, book format",,,,,,,,,,,,,,,,,,,,,,,
1,1,看,kàn,khán,看,37,好看 看 看病 看到 看见,"Coi, xem",to look after, to take care of, to watch, to guard,,,,,,,,,,,,,,,,,,,,
1,1,考,kǎo,khảo,考,15,考 考试 考生 考验 参考,"Thọ khảo, già nua",to beat, to hit, variant of 考, to inspect, to test, to take an exam,,,,,,,,,,,,,,,,,,
1,1,渴,kě,"khát, kiệt",渴,2,渴 渴望,Khát nước,thirsty,,,,,,,,,,,,,,,,,,,,,,,
1,2,客,kè,khách,客,21,不客气 顾客 客人 旅客 请客,"Khách, đối lại với chủ 主",,,,,,,,,,,,,,,,,,,,,,,,
1,1,课,kè,khóa,課,13,课 课本 课文 上课 下课,"Thi, tính",subject, course, class, lesson, to levy, tax, form of divination,,,,,,,,,,,,,,,,,
1,1,口,kǒu,khẩu,口,47,口 路口 门口 出口 人口,Cái miệng,"mouth; classifier for things with mouths (people, domestic animals, cannons, wells etc); classifier for bites or mouthfuls",,,,,,,,,,,,,,,,,,,,,,,
1,1,块,kuài,khối,塊,3,块 一块儿 板块,"Hòn, phàm vật gì tích dần lại thành từng hòn gọi là khối","lump; chunk; piece; classifier for pieces of cloth, cake, soap etc; (coll.) classifier for money and currency units",,,,,,,,,,,,,,,,,,,,,,,
1,1,快,kuài,khoái,快,20,快 快餐 快点儿 快乐 快要,Sướng thích,rapid, quick, speed, rate, soon, almost, to make haste, clever, sharp (of knives or wits), forthright, plainspoken, gratified, pleased, pleasant,,,,,,,,,,
